Outcome,N,Type,Estimate (95% CI),P value
Crop production,707,OR,0.84 (0.62-1.13),0.245
Crop sale,383,OR,0.77 (0.49-1.21),0.259
Hired labour use,383,OR,1.63 (1.04-2.57),0.034
Moderate/severe food insecurity proxy,707,OR,0.83 (0.61-1.13),0.230
Food insecurity count,707,IRR,0.96 (0.84-1.09),0.539
Grains,707,OR,1.06 (0.75-1.50),0.736
Legumes,707,OR,1.17 (0.80-1.72),0.418
Vegetables/tubers,707,OR,0.50 (0.29-0.85),0.011
Fruits/nuts,707,OR,0.72 (0.46-1.11),0.132
Animal feed,707,OR,1.03 (0.56-1.89),0.934
